scenario,poultry_feed_freed_kt,eggs_feed_freed_kt,red_meat_feed_freed_kt,tier1_net_feed_freed_kt,tier1_cropland_no_longer_needed_ha,tier1_pct_of_2024_barley_sown_area,tier1_pct_of_total_utilised_agricultural_area,tier2_illustrative_vegetable_output_t,tier2_pct_of_current_vegetable_gap,tier2_pct_of_freed_land_needed_to_close_veg_gap
Scenario B (TAI-recommended diet),-1.64,-11.88,153.51,140.0,42217.0,44.4,4.3,1262288.0,1557.1,6.4
Scenario C (EAT-Lancet 2019 diet),10.4,9.91,176.55,196.9,59367.0,62.5,6.1,1775073.0,2189.6,4.6
Scenario C.2 (EAT-Lancet 2025 diet),10.16,8.36,155.1,173.6,52358.0,55.1,5.3,1565504.0,1931.1,5.2
